partition,strategy,spread_label,spread,exit_threshold,min_entry,max_entry,e_star,n_trades,proj_60d,total_pnl,sharpe,win_rate,exit_rate,max_dd,mean_pnl_per_trade
IS,hybrid_maker,optimistic,0.04,0.22,0.15,0.65,0.037,160,192.0,28.475000000000005,3.9624922347759024,0.55625,0.5125,-7.350000000000001,0.17796875
IS,hybrid_maker,optimistic,0.04,0.22,0.15,0.65,0.05,155,186.0,24.125000000000007,3.5955839374037666,0.5548387096774193,0.5161290322580645,-7.349999999999998,0.15564516129032258
IS,hybrid_maker,optimistic,0.04,0.22,0.25,0.55,0.02,105,126.0,31.05000000000001,4.46181114471195,0.6571428571428571,0.5904761904761905,-6.699999999999999,0.29571428571428576
IS,hybrid_maker,optimistic,0.04,0.22,0.25,0.55,0.037,94,112.8,37.975,5.820593441495201,0.7021276595744681,0.6382978723404256,-6.699999999999999,0.4039893617021276
IS,hybrid_maker,optimistic,0.04,0.22,0.25,0.55,0.05,93,111.60000000000001,34.675000000000004,5.492086188918765,0.6989247311827957,0.6451612903225806,-6.699999999999999,0.37284946236559136
IS,hybrid_maker,optimistic,0.04,0.22,0.25,0.65,0.02,109,130.8,27.400000000000006,3.849458057542891,0.6513761467889908,0.5871559633027523,-6.699999999999999,0.2513761467889909
IS,hybrid_maker,optimistic,0.04,0.22,0.25,0.65,0.037,100,120.0,32.60000000000001,4.806696626407091,0.69,0.63,-6.699999999999999,0.326
IS,hybrid_maker,optimistic,0.04,0.22,0.25,0.65,0.05,98,117.6,28.200000000000006,4.2407332571059575,0.6836734693877551,0.6326530612244898,-6.699999999999999,0.28775510204081634
IS,hybrid_maker,optimistic,0.04,0.22,0.35,0.55,0.02,66,79.2,29.95000000000001,4.759183355430532,0.7424242424242424,0.6515151515151515,-5.824999999999999,0.45378787878787885
IS,hybrid_maker,optimistic,0.04,0.22,0.35,0.55,0.037,59,70.8,29.375000000000007,5.433932524115504,0.7627118644067796,0.6779661016949152,-5.824999999999999,0.4978813559322034
IS,hybrid_maker,optimistic,0.04,0.22,0.35,0.55,0.05,58,69.6,26.075000000000006,5.038763537904367,0.7586206896551724,0.6896551724137931,-5.824999999999999,0.4495689655172414
IS,hybrid_maker,optimistic,0.04,0.22,0.35,0.65,0.02,73,87.6,25.70000000000001,3.7682062171662434,0.726027397260274,0.6438356164383562,-5.824999999999999,0.352054794520548
